index,rating,title,text,actual_sentiment,predicted_sentiment,correct,llm_emotion,llm_confidence,nrc_emotion,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
0,5.0,Kid get to choose!,My grandkids love being able to buy what they want exactly!,POSITIVE,POSITIVE,True,joy,0.95,joy,0,0,0,0,1,0,0,0
1,5.0,Cute presentation,The Snowman tin is a very cute way to give a gift card.  This was the second one that I bought.,POSITIVE,POSITIVE,True,joy,0.9,anticipation,0,1,0,0,1,0,1,0
2,5.0,Five Stars,great,POSITIVE,POSITIVE,True,joy,0.95,,0,0,0,0,0,0,0,0
3,1.0,Doesn’t show card amounts and ENVELOPES DONT OPEN,[[VIDEOID:a01bdd0dd3c665f4a16439873c8c7a20]] I bought multiple cards with different amounts on them. They are not labeled as to how much each one is. Plus they don’t open! One is ripped.,NEGATIVE,NEGATIVE,True,anger,0.95,trust,0,0,0,0,0,0,0,2
4,5.0,Can you go wrong?,What’s not to like about an Amazon gift card!,POSITIVE,POSITIVE,True,joy,0.95,anticipation,0,1,0,0,1,0,1,0
5,5.0,awesome and on time!,awesome and on time!,POSITIVE,POSITIVE,True,joy,0.95,anticipation,0,2,0,0,0,0,0,0
6,5.0,Great!,"Easy,  no hassle.  I got it for a gift for  someone.",POSITIVE,POSITIVE,True,joy,0.9,anticipation,0,1,0,0,1,0,1,0
7,1.0,Didn't Get Gift I Ordered,"I purchased the ""Dad"" design gift card for Father's Day and inserted a  gift message for my Father.  Unfortunately, not only did my father receive the standard plane gift card, the gift message was also not inserted.  Not the Father's Day present I was looking for.",NEGATIVE,NEGATIVE,True,sadness,0.95,anticipation,0,6,0,0,6,0,6,3
8,1.0,Worst item ever,No one would let you use tbem I got stuck with 700 gift cards was able to pay directv with the,NEGATIVE,NEGATIVE,True,anger,0.95,anticipation,0,2,0,0,2,0,1,1
9,3.0,OK,OK,NEUTRAL,NEUTRAL,True,trust,0.8,,0,0,0,0,0,0,0,0
10,1.0,REALLY?!?!?!?,you actually want a review on a gift card?!?!?!,NEGATIVE,NEUTRAL,False,surprise,0.7,anticipation,0,1,0,0,1,0,1,0
11,1.0,Would give them 0 stars if possible.,"First of all, Fandango does NOT allow you to register gift cards into the system so you have to remember a 19 digit number plus a pin every time you buy a ticket. Then, God forbid, if you should misplace a card or need assistance; I had to wait 20 MINUTES to get someone on live chat and THEN she kept telling me she couldn't help me and finally just ended the chat while I was still typing information to her! WTF. She did, however, provide a phone number to call for customer service. Which I used and got SOME satisfaction. James, a very polite young man, took the information and said that that ""Gift Cards"" was a different department and it would take 7 - 10 days to get an email back to me to resolve the issue. We'll see in 7-10 days. UPDATE:  NO LUCK.  I will Never give or ask for Fandango gift cards again.",NEGATIVE,NEGATIVE,True,anger,0.98,anticipation,1,9,2,1,7,1,6,5
12,2.0,IMPORTANT IF YOU'RE USING IN RESTAURANT!!!,"Card worked great except for two things that aren't ANYWHERE in any of the fine print, and I had to get on phone for 20 minutes with 2 people! First, you have to call ahead & set up PIN to be able to use at debit store. Second & most important....EVEN AT A CORNER DELI OR SUBWAY, IF YOU USE IT IN A RESTAURANT OF ANY KIND, THERES A $1.50 FEE! SO REMEMBER TO SUBTRACT IT WHEN FIGURING YOUR TOTAL!!!!!!!🙄😡😡😡",NEGATIVE,NEGATIVE,True,anger,0.95,trust,1,1,0,0,1,0,0,3
13,3.0,Looks like it’s been ran over,"I’m assuming the codes are still good however, the outside packaging looks like it has been run over several times and covered in black smudges.",NEUTRAL,NEGATIVE,False,disgust,0.8,anticipation,0,1,0,0,1,1,1,1
14,5.0,Perfect Gift,Came in great time for Christmas and made a 10 year old very happy.,POSITIVE,POSITIVE,True,joy,0.95,anticipation,0,4,0,0,3,0,1,2
15,3.0,It came as it should.,What can I say. It is a gift card.,NEUTRAL,NEUTRAL,True,trust,0.8,anticipation,0,1,0,0,1,0,1,0
16,3.0,EH..,The gift card came a little torn and messed up,NEUTRAL,NEGATIVE,False,disgust,0.8,anticipation,0,1,0,0,1,0,1,0
17,4.0,Four Stars,Christmas stocking stuffers.,POSITIVE,NEUTRAL,False,anticipation,0.7,,0,0,0,0,0,0,0,0
18,1.0,Fools Gold,"Amazon fooled me on this one, they won't get another chance. Not reloadable. Complete waste of money!!!!",NEGATIVE,NEGATIVE,True,anger,0.98,surprise,1,1,1,0,1,0,2,1
19,3.0,Ok,Ok,NEUTRAL,NEUTRAL,True,trust,0.7,,0,0,0,0,0,0,0,0
20,3.0,No title,This gift card isn’t accepted at gas stations.,NEUTRAL,NEGATIVE,False,anger,0.8,anticipation,0,1,0,0,1,0,1,1
21,1.0,One Star,I can't find my current balance.,NEGATIVE,NEGATIVE,True,anger,0.8,anticipation,0,1,0,0,1,0,0,1
22,5.0,It’s a gift card,It’s a gift card,POSITIVE,NEUTRAL,False,trust,0.9,anticipation,0,2,0,0,2,0,2,0
23,4.0,Window at Back,The snowflake gift tin is cute in the front but I don’t like the window at the back. Presumably it exists so the card can be activated at the warehouse but it makes the tin less giftable.,POSITIVE,NEGATIVE,False,sadness,0.7,anticipation,0,1,0,0,1,0,1,1
24,1.0,DON'T BUY THESE.,"This purchase has been a disaster.  First, they sent me only 2 $100 gift cards and 1 $25 gift card.  I notified them and they credited my account for the 1 $100 card I didn't receive.  Because they weren't used right away I didn't realize that the other 2 $200 gift cards had not been activated. Only the $25 was activated.  I gave 1 of the $100 to my daughter-in-law for her birthday and when she tried to use it, it didn't work.  She returned it to me and I tried the $100 card I had and it didn't work either.  I've been on the phone with Amazon for two hours trying to resolve this issue and each time I think it's been resolved, it is not.  I'vd been transferred and explained the situation so many times, I could cry.",NEGATIVE,NEGATIVE,True,anger,0.98,anticipation,1,5,1,1,5,2,5,2
25,5.0,A 5-star no brainer.,Amazon gift card in a gift box with free one day shipping? I'd give this 10 stars if that were possible. But I think the service speaks for itself.,POSITIVE,POSITIVE,True,joy,0.95,anticipation,0,3,0,0,3,0,2,1
26,3.0,"Meh, it's okay!","The process was easy enough, and it served my purpose.",NEUTRAL,NEUTRAL,True,trust,0.6,,0,0,0,0,0,0,0,0
27,5.0,Five Stars,Great transaction and product.,POSITIVE,POSITIVE,True,joy,0.95,trust,0,0,0,0,0,0,0,1
28,5.0,Always a good choice.,"This was a gift for a family member who could use it in so many ways..for clothing, books, personal care, etc. Who can't find something they need at Amazon?",POSITIVE,POSITIVE,True,trust,0.95,anticipation,0,2,0,0,2,0,2,2
29,1.0,Cool,My Dad love it,NEGATIVE,POSITIVE,False,joy,0.9,joy,0,0,0,0,1,0,0,0
30,3.0,EAST COAST ONLY OPERATION.,"Nothing wrong with that, just thought it needed to be stated where people could easily see it. Lightning deals on something regional might trick the less attentive into wasting their hard-earned FRNs on something they will never use. Neutral 3-star rating given.",NEUTRAL,NEUTRAL,True,anticipation,0.9,fear,2,3,1,4,1,2,2,4
31,3.0,Three Stars,its a pain to use if traveling,NEUTRAL,NEGATIVE,False,anger,0.9,fear,0,0,0,1,0,1,0,0
32,3.0,Three Stars,Works.,NEUTRAL,NEUTRAL,True,trust,0.7,,0,0,0,0,0,0,0,0
33,5.0,Great,Great,POSITIVE,POSITIVE,True,joy,0.95,,0,0,0,0,0,0,0,0
34,3.0,what I wanted,great gift,NEUTRAL,POSITIVE,False,joy,0.9,anticipation,0,1,0,0,1,0,1,0
35,5.0,Great gift,Great gift and great presentation,POSITIVE,POSITIVE,True,joy,0.95,anticipation,0,2,0,0,2,0,2,0
36,5.0,I got free 10 dollars so it was good,Like it,POSITIVE,POSITIVE,True,joy,0.9,anticipation,0,1,0,0,1,0,1,1
37,5.0,This is a Blunt Review,"It's just a pack of 3 gift cards in an envelope like casing, nothing serious! There is nothing wrong with it and it's so easy to fill, anyone can use! The main reason I got it was that it was a free add-on. I'll be saving it in case I need it as a last minute gift.",POSITIVE,POSITIVE,True,trust,0.6,anticipation,0,2,0,1,2,1,2,1
38,1.0,One Star,I didn't know the was a charge,NEGATIVE,NEGATIVE,True,surprise,0.8,anticipation,0,1,0,0,1,0,0,1
39,5.0,Cute Holder,Very Cute to Give A Gift Card With!,POSITIVE,POSITIVE,True,joy,0.9,anticipation,0,1,0,0,1,0,1,0
40,4.0,Amazon product... has to be nice,Bought these gift cards for my kids teachers. Look good. Better than giving other companies gift cards.,POSITIVE,POSITIVE,True,trust,0.9,anticipation,0,3,0,0,3,0,3,1
41,3.0,Easy to get,Quick and easy,NEUTRAL,POSITIVE,False,trust,0.9,,0,0,0,0,0,0,0,0
42,3.0,😁😁😁,Accidentally bought this but pretty cool,NEUTRAL,POSITIVE,False,joy,0.8,anticipation,0,1,0,0,1,0,1,1
43,3.0,Annoying to use,I used most of this gift card with a small amount left. The small amount is still saved to my account but it doesn't automatically apply to my future orders. I'm not sure how to redeem the remaining amount on the gift card..,NEUTRAL,NEGATIVE,False,anger,0.8,anticipation,1,2,0,0,2,0,2,1
44,5.0,Card,It’s a gift card,POSITIVE,NEUTRAL,False,trust,0.95,anticipation,0,1,0,0,1,0,1,0
45,1.0,Don’t buy gift cards on line. No refund.,Card was opened and resealed .,NEGATIVE,NEGATIVE,True,anger,0.95,anticipation,0,1,0,0,1,0,1,1
46,3.0,kind of confusing,its okay kind of confusing,NEUTRAL,NEUTRAL,True,surprise,0.7,joy,0,0,0,0,2,0,0,2
47,5.0,Excellent!,I love dealing with Anazon. You always make everything right. Can't imagine shopping any other way now.,POSITIVE,POSITIVE,True,joy,0.98,joy,0,1,0,0,3,0,1,2
48,5.0,Cool,Very good,POSITIVE,POSITIVE,True,joy,0.95,anticipation,0,1,0,0,1,0,1,1
49,1.0,I don't get the $10 when I buy a $100 gift card,"I have purchased $100 gift cards at least two time and still have not gotten the $10.00 it said I would.  Nor, last time I changed to a debit card and do not see the addl 2%. I have tried to find a customer service contact but I don't ask my question the way the robo service rep can understand.  Any help with this would be appreciated.  PS the robo customer service thing is really not that great.",NEGATIVE,NEGATIVE,True,anger,0.95,anticipation,0,4,0,0,2,0,2,0
50,1.0,What happened to my $100?,I paid $100 to reload my prime visa from chase and when I ordered from Amazon there was no funds to cover my purchase order.,NEGATIVE,NEGATIVE,True,anger,0.95,trust,0,0,0,0,0,0,0,1
51,2.0,At your own risk!,[[VIDEOID:189191415d98b92664fb5ef6c3d91df]] Not worth it!  I didn't receive all my things I ordered when using the card I loaded $100 onto! And then trying to get them to send replacements or get your money back is a complete nightmare.,NEGATIVE,NEGATIVE,True,anger,0.95,anticipation,1,2,0,2,1,0,1,1
52,5.0,Easy to reloadI’ll do it again,Easy to reload,POSITIVE,POSITIVE,True,trust,0.9,,0,0,0,0,0,0,0,0
53,1.0,The card was a gift to me but I was charged $50 to use,Card was a gift.  Tried to put on my Amazon acct.  had difficulty called Amazon.  Walked me thru process. Charged $50 on my acct.  Why?  This card now cost $100.  Outrageous.  Never purchase an Amazon card again,NEGATIVE,NEGATIVE,True,anger,0.95,surprise,1,2,0,1,2,1,3,0
54,5.0,Awesome,Simple and easy,POSITIVE,POSITIVE,True,joy,0.95,,0,0,0,0,0,0,0,0
55,2.0,Have to contact Amazon as only one card came in ...,Have to contact Amazon as only one card came in the box.  Hoping they can cancel the one serial number and reissue.,NEGATIVE,NEGATIVE,True,anger,0.9,anticipation,0,1,0,0,0,1,0,0
56,5.0,Five Stars,Well received as always :-),POSITIVE,POSITIVE,True,joy,0.95,,0,0,0,0,0,0,0,0
